code,name,r,g,b,白,黒,赤,黄,青,source
05-30D,,84,57,56,22,45,29,2,2,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=30&c=D
05-30T,,139,0,25,0,21,79,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=30&c=T
05-40D,,112,85,84,33,31,30,3,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=D
05-40F,,125,85,85,33,26,35,2,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=F
05-40V,,178,27,46,10,9,77,1,3,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=V
05-40X,,183,0,36,0,8,92,0,0,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=40&c=X
05-50B,,130,116,114,44,24,23,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=B
05-50D,,139,114,113,44,21,28,3,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=D
05-50F,,146,112,110,43,18,30,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=F
05-50V,,202,65,74,25,4,63,3,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=50&c=V
05-60B,,155,144,142,56,15,20,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=B
05-60D,,162,139,137,54,13,24,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=D
05-60F,,171,137,135,53,11,27,4,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=F
05-60L,,197,124,121,47,5,37,5,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=60&c=L
05-70A,,179,172,169,66,9,14,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=A
05-70B,,183,171,168,66,8,16,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=B
05-70D,,190,167,164,64,6,20,5,5,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=D
05-70L,,224,152,150,58,2,30,4,6,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=70&c=L
05-75A,,194,187,184,72,6,12,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=75&c=A
05-75B,,198,186,182,71,5,14,6,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=75&c=B
05-80A,,206,201,197,77,4,8,7,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=A
05-80B,,211,200,196,77,3,11,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=B
05-80D,,213,194,190,74,3,14,5,4,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=05&v=80&c=D
