code,name,r,g,b,source
N-95,JPMA P N-95,242,241,235,QTCColor https://www.qtccolor.com/secaiku/color/120622
N-93,JPMA P N-93,238,236,231,QTCColor https://www.qtccolor.com/secaiku/color/120621
N-90,JPMA P N-90,230,230,226,QTCColor https://www.qtccolor.com/secaiku/color/120594
N-87,JPMA P N-87,222,222,218,QTCColor https://www.qtccolor.com/secaiku/color/120573
N-85,JPMA P N-85,216,216,212,QTCColor https://www.qtccolor.com/secaiku/color/120550
N-82,JPMA P N-82,207,208,204,QTCColor https://www.qtccolor.com/secaiku/color/120532
N-80,JPMA P N-80,200,202,198,QTCColor https://www.qtccolor.com/secaiku/color/120493
N-77,JPMA P N-77,187,188,185,QTCColor https://www.qtccolor.com/secaiku/color/120445
N-75,JPMA P N-75,181,182,179,QTCColor https://www.qtccolor.com/secaiku/color/120423
N-72,JPMA P N-72,175,176,172,QTCColor https://www.qtccolor.com/secaiku/color/120418
N-70,JPMA P N-70,170,171,168,QTCColor https://www.qtccolor.com/secaiku/color/120334
N-65,JPMA P N-65,153,156,153,QTCColor https://www.qtccolor.com/secaiku/color/120310
N-60,JPMA P N-60,140,141,138,QTCColor https://www.qtccolor.com/secaiku/color/120244
N-55,JPMA P N-55,127,128,125,QTCColor https://www.qtccolor.com/secaiku/color/120233
N-50,JPMA P N-50,116,118,115,QTCColor https://www.qtccolor.com/secaiku/color/120167
N-45,JPMA P N-45,104,105,103,QTCColor https://www.qtccolor.com/secaiku/color/120154
N-40,JPMA P N-40,91,92,90,QTCColor https://www.qtccolor.com/secaiku/color/120103
N-35,JPMA P N-35,80,82,81,QTCColor https://www.qtccolor.com/secaiku/color/120102
N-30,JPMA P N-30,68,69,67,QTCColor https://www.qtccolor.com/secaiku/color/120082
N-25,JPMA P N-25,57,58,56,QTCColor https://www.qtccolor.com/secaiku/color/120057
N-15,JPMA P N-15,31,33,33,QTCColor https://www.qtccolor.com/secaiku/color/120043
N-10,JPMA P N-10,17,17,17,QTCColor https://www.qtccolor.com/secaiku/color/120036
22-90A,JPMA P 22-90A,237,226,207,QTCColor https://www.qtccolor.com/secaiku/color/120593
22-90B,JPMA P 22-90B,238,224,202,QTCColor https://www.qtccolor.com/secaiku/color/120594
22-90C,JPMA P 22-90C,239,223,198,QTCColor https://www.qtccolor.com/secaiku/color/120595
22-90D,JPMA P 22-90D,239,222,193,QTCColor https://www.qtccolor.com/secaiku/color/120596
22-85A,JPMA P 22-85A,225,215,198,QTCColor https://www.qtccolor.com/secaiku/color/120551
22-80A,JPMA P 22-80A,210,199,180,QTCColor https://www.qtccolor.com/secaiku/color/120495
22-80B,JPMA P 22-80B,209,195,173,QTCColor https://www.qtccolor.com/secaiku/color/120478
22-80C,JPMA P 22-80C,209,193,166,QTCColor https://www.qtccolor.com/secaiku/color/120479
22-80D,JPMA P 22-80D,208,190,157,QTCColor https://www.qtccolor.com/secaiku/color/120475
22-80F,JPMA P 22-80F,209,187,145,QTCColor https://www.qtccolor.com/secaiku/color/120481
22-75A,JPMA P 22-75A,196,185,167,QTCColor https://www.qtccolor.com/secaiku/color/120424
22-75B,JPMA P 22-75B,195,181,158,QTCColor https://www.qtccolor.com/secaiku/color/120429
22-75D,JPMA P 22-75D,194,176,143,QTCColor https://www.qtccolor.com/secaiku/color/120427
22-75F,JPMA P 22-75F,193,173,131,QTCColor https://www.qtccolor.com/secaiku/color/120431
65-90D,JPMA P 65-90D,208,232,237,QTCColor https://www.qtccolor.com/secaiku/color/120580
67-70L,JPMA P 67-70L,76,178,219,QTCColor https://www.qtccolor.com/secaiku/color/120409
69-30P,JPMA P 69-30P,0,81,171,QTCColor https://www.qtccolor.com/secaiku/color/120083
69-40D,JPMA P 69-40D,68,95,124,QTCColor https://www.qtccolor.com/secaiku/color/120104
69-40T,JPMA P 69-40T,0,95,170,QTCColor https://www.qtccolor.com/secaiku/color/120119
69-50D,JPMA P 69-50D,88,116,148,QTCColor https://www.qtccolor.com/secaiku/color/120168
69-50H,JPMA P 69-50H,32,121,181,QTCColor https://www.qtccolor.com/secaiku/color/120178
69-50T,JPMA P 69-50T,0,119,197,QTCColor https://www.qtccolor.com/secaiku/color/120171
69-60L,JPMA P 69-60L,32,148,212,QTCColor https://www.qtccolor.com/secaiku/color/120250
69-70F,JPMA P 69-70F,123,171,201,QTCColor https://www.qtccolor.com/secaiku/color/120339
17-40D,JPMA P 17-40D,106,92,71,QTCColor https://www.qtccolor.com/secaiku/color/120141
17-50F,JPMA P 17-50F,134,115,82,QTCColor https://www.qtccolor.com/secaiku/color/120162
17-50L,JPMA P 17-50L,144,114,62,QTCColor https://www.qtccolor.com/secaiku/color/120185
05-90A,JPMA P 05-90A,239,222,215,QTCColor https://www.qtccolor.com/secaiku/color/120602
